task,cpu_quota,mem_quota,running time,overhead
0,0.2,40,8.637758319964632,12168.878500000885
0,0.2,60,15.51283004002471,6009.708748999382
0,0.2,80,12.051751679973677,7323.739333000656
0,0.2,100,39.87048504000995,7481.161290999755
0,0.2,120,24.22974835993955,4881.834833001512
0,0.2,140,12.385536680012592,6943.01183299968
0,0.2,160,20.28033504000632,5080.490081999841
0,0.2,180,11.722228360013105,5584.141082999672
0,0.2,200,11.875656679985696,6407.739375000361
0,0.2,220,12.042893360048765,5801.7472909987755
0,0.4,40,3.8497199999983422,5886.411208000041
0,0.4,60,3.9803950000350596,3177.1774579991215
0,0.4,80,3.9071683200018015,1737.0580419999442
0,0.4,100,3.9485083599720383,1492.4720820007024
0,0.4,120,4.018799999976181,1506.098625000604
0,0.4,140,1.4246233199810376,1566.51158400048
0,0.4,160,3.971624999976484,1630.5317500006
0,0.4,180,3.8981316800345667,1662.4618739991347
0,0.4,200,4.134206679955241,1593.5392080011184
0,0.4,220,4.010313360049622,1531.3236239987589
0,0.6,40,2.269291639968287,5382.605376000796
0,0.6,60,1.7126916800043546,2498.84608299989
0,0.6,80,1.4610633199481526,1249.9454170012996
0,0.6,100,3.0046616399340564,1151.7375430016443
0,0.6,120,1.4353983200271614,1152.7176669993223
0,0.6,140,2.9981499999848893,1139.1362500003765
0,0.6,160,2.9560183200374013,1109.4316669990576
0,0.6,180,1.461810000037076,1233.3471249990707
0,0.6,200,1.3820166799996514,1197.0026250000103
0,0.6,220,3.06864336002036,1104.9050819994904
0,0.8,40,1.9075899999734247,5062.8148750006685
0,0.8,60,1.7009966800105758,2203.7136669997326
0,0.8,80,1.3726166800188366,1066.2922079995383
0,0.8,100,1.4290583199908724,1024.8874580002223
0,0.8,120,2.329598319993238,980.2790840001735
0,0.8,140,2.2966233199986164,948.200001000032
0,0.8,160,1.437878360011382,1015.4247079997135
0,0.8,180,1.3957650000520516,1002.402332998699
0,0.8,200,2.3512766800558893,946.3471659986027
0,0.8,220,1.487286679985118,1255.9265410003775
0,1.0,40,2.0405033200222533,5787.252124999441
0,1.0,60,1.6069916800188366,2212.40404199952
0,1.0,80,1.9016116800048621,1071.8375419998836
0,1.0,100,1.4230133600358386,999.0667909991089
0,1.0,120,1.4328150000073947,940.7573329998229
0,1.0,140,1.4384399999835296,964.6446250004033
0,1.0,160,1.414833320013713,984.165875999679
0,1.0,180,1.4460766399861313,927.5445430003231
0,1.0,200,1.364949999988312,969.703875000306
0,1.0,220,1.474129999987781,961.1535420003179
0,1.2,40,1.8914550000044983,5071.720499999884
0,1.2,60,1.6867500000080327,2286.9111669998006
0,1.2,80,1.4135016399814049,970.3248760004612
0,1.2,100,1.6248099999938859,956.4175410001496
0,1.2,120,1.717999999964377,965.408000000906
0,1.2,140,1.4183249999769032,1027.3152910005763
0,1.2,160,1.4176050000241958,956.9564589994002
0,1.2,180,1.4166816799843218,940.700708000378
0,1.2,200,1.415229999984149,986.937833000411
0,1.2,220,1.4137616399966646,952.6456680000877
0,1.4,40,1.9126216800214024,5424.605666999469
0,1.4,60,1.6382166399853304,2306.864167000356
0,1.4,80,1.499580000017886,1160.0902079995592
0,1.4,100,1.8445816799794557,966.8517490005115
0,1.4,120,1.5138650000153575,927.9146249996302
0,1.4,140,1.406459999998333,944.2134580000356
0,1.4,160,1.3846983200346585,886.9115419991545
0,1.4,180,1.3850883600389352,863.341290999017
0,1.4,200,1.5268983200076036,850.0560829998278
0,1.4,220,1.3853983199805953,886.4798340004825
0,1.6,40,2.1050150399969425,5393.3182070000785
0,1.6,60,1.6342316800000845,2218.106457999994
0,1.6,80,1.6632399999798508,1066.028417000524
0,1.6,100,1.4602816799742868,937.9657500006431
0,1.6,120,1.58610000005865,903.2050409985573
0,1.6,140,1.3703883600101108,902.9319159997442
0,1.6,160,1.3710483600152656,871.4039999996146
0,1.6,180,1.4225316800002474,869.8648749999904
0,1.6,200,1.471806679983274,862.0910420004009
0,1.6,220,1.3853433199983556,882.6534170000286
0,1.8,40,2.120555000001332,5022.038124999966
0,1.8,60,1.6461899999558227,2143.7136670011228
0,1.8,80,1.4160083600290818,964.842457999282
0,1.8,100,1.4341850000346312,910.6088749991272
0,1.8,120,1.4551866800320568,938.5183749992052
0,1.8,140,1.4401250000082655,900.6360829997959
0,1.8,160,1.4453900000080466,910.9253329997955
0,1.8,180,1.3917033200414153,896.6526669989605
0,1.8,200,1.4076116400246974,848.3912089993737
0,1.8,220,1.412445000023581,874.5142079993968
0,2.0,40,2.0318366800347576,4904.139082999137
0,2.0,60,1.689810000025318,2118.4222499993552
0,2.0,80,1.4385783199395519,942.7210000015123
0,2.0,100,1.456659999967087,904.2423750008197
0,2.0,120,1.429143360001035,895.1562499999568
0,2.0,140,1.419131680013379,869.5062909996523
