task,cpu_quota,mem_quota,running time,overhead
0,0.2,40,38.97888573,42498.65447
0,0.2,60,32.28058834,14212.94741
0,0.2,80,31.0921918,11814.15174
0,0.2,100,31.97106896,10832.74212
0,0.2,120,31.81706697,10644.89835
0,0.2,140,32.09865868,10630.61622
0,0.2,160,32.59933705,10649.53262
0,0.2,180,35.55562912,10536.01095
0,0.2,200,31.86181951,10926.45544
0,0.2,220,32.10140545,10362.18926
0,0.4,40,19.40295191,38155.12973
0,0.4,60,11.52573269,10299.21941
0,0.4,80,12.78930828,7363.422949
0,0.4,100,12.46780798,6038.681117
0,0.4,120,12.5660084,6209.664337
0,0.4,140,15.52771064,5771.640833
0,0.4,160,15.22492643,5944.250163
0,0.4,180,15.01605412,5825.832342
0,0.4,200,12.47209661,6040.437181
0,0.4,220,15.57354888,6086.065714
0,0.6,40,11.53001076,40801.09404
0,0.6,60,8.785591796,9447.279305
0,0.6,80,8.335670158,6024.745859
0,0.6,100,8.423410989,4831.258069
0,0.6,120,8.42642121,4823.483667
0,0.6,140,8.467486966,4931.580794
0,0.6,160,10.20118741,5082.293537
0,0.6,180,8.304584995,5005.70389
0,0.6,200,10.62423572,4920.99738
0,0.6,220,8.28397112,4675.307176
0,0.8,40,13.66570147,39366.21511
0,0.8,60,9.582123309,9967.747048
0,0.8,80,7.813494988,5717.414757
0,0.8,100,6.570811197,4308.305435
0,0.8,120,6.885510162,4272.942898
0,0.8,140,5.823375992,4179.72225
0,0.8,160,6.727350429,4391.720641
0,0.8,180,6.009697448,4230.949127
0,0.8,200,6.988867447,4153.14465
0,0.8,220,6.800662559,4426.591492
0,1,40,9.236956201,39332.473
0,1,60,4.995077569,8758.344698
0,1,80,12.15243103,4903.868755
0,1,100,4.936526231,3961.083296
0,1,120,4.838318843,4277.728926
0,1,140,4.802528489,3785.601911
0,1,160,4.746833052,3997.250212
0,1,180,5.142823234,3897.089742
0,1,200,4.849324357,4144.664781
0,1,220,4.84836312,3864.935914
0,1.2,40,9.236238934,38085.50106
0,1.2,60,8.808877151,9027.741629
0,1.2,80,14.99984268,5458.217972
0,1.2,100,4.739039522,3773.936505
0,1.2,120,4.847313203,3942.194931
0,1.2,140,4.739855155,3822.640286
0,1.2,160,4.695295524,3885.642504
0,1.2,180,4.817642402,3921.774663
0,1.2,200,4.728137124,3953.124949
0,1.2,220,4.676814452,3801.263197
0,1.4,40,10.56802388,35524.25378
0,1.4,60,12.090488,10081.6028
0,1.4,80,5.722551402,5638.874315
0,1.4,100,4.746024366,3711.751881
0,1.4,120,4.760383014,4008.298097
0,1.4,140,4.795495588,3952.347002
0,1.4,160,4.810400121,3845.099211
0,1.4,180,4.777381402,3729.335713
0,1.4,200,4.750745278,3872.740319
0,1.4,220,4.88640327,4000.655939
0,1.6,40,10.16869429,36589.20086
0,1.6,60,6.148050521,9418.57628
0,1.6,80,6.772909481,5695.266929
0,1.6,100,4.745471254,4083.787298
0,1.6,120,4.903918728,4285.587154
0,1.6,140,4.731428437,3916.683379
0,1.6,160,4.898042846,3935.70533
0,1.6,180,4.845335688,3849.192227
0,1.6,200,4.732389245,3915.804608
0,1.6,220,4.792050011,3963.330184
0,1.8,40,8.72153813,36969.76625
0,1.8,60,5.742847417,10160.22523
0,1.8,80,8.420995586,5721.274264
0,1.8,100,4.763262048,3865.606152
0,1.8,120,4.802500922,4061.129968
0,1.8,140,4.734083284,3851.385584
0,1.8,160,4.914448,4076.249699
0,1.8,180,4.821199756,3897.516406
0,1.8,200,4.824493192,3916.665648
0,1.8,220,4.735019524,4098.013692
0,2,40,10.08311592,41790.86809
0,2,60,7.085874211,9030.168477
0,2,80,9.666974638,5873.389341
0,2,100,4.807499684,3848.295327
0,2,120,4.790596515,4068.148665
0,2,140,4.706128445,3851.382214
0,2,160,4.859614316,4067.991302
0,2,180,4.696606714,3760.190551
0,2,200,4.71215399,3961.27445
0,2,220,4.749714322,3977.207003
1,0.2,40,775.4038378,41705.32048
1,0.2,60,756.1147532,14382.51928
1,0.2,80,810.9784854,11804.99792
