task,cpu_quota,mem_quota,running time,overhead
0,0.2,40,26.765316000019084,24900.52269999952
0,0.2,60,19.87090399998124,10239.998600000472
0,0.2,80,23.570899999976973,6393.46970000058
0,0.2,100,19.54488000003039,5937.616399999243
0,0.2,120,20.352420000053822,5817.95779999866
0,0.2,140,20.1346840000042,5631.386099999893
0,0.2,160,19.94317199998477,5685.4368000003815
0,0.2,180,23.388032000002568,6131.348399999936
0,0.2,200,23.539724000002025,6074.939199999946
0,0.2,220,23.46248800000467,6452.756299999891
0,0.4,40,10.305519999965329,10042.306700000863
0,0.4,60,10.659100000048056,5920.038399998802
0,0.4,80,8.346008000007714,3663.162299999812
0,0.4,100,8.353811999986647,3306.14640000033
0,0.4,120,8.262132000018028,3354.262399999541
0,0.4,140,11.78029199996672,3540.241100000827
0,0.4,160,10.70326799999748,3408.1630000000587
0,0.4,180,8.218260000066948,3472.794999998328
0,0.4,200,8.439416000037454,3375.348099999059
0,0.4,220,8.317056000014418,3395.5846999996597
0,0.6,40,6.56561600000714,9283.915999999806
0,0.6,60,4.679003999990528,4443.637100000216
0,0.6,80,6.983347999994294,2947.1386000001303
0,0.6,100,5.922356000010041,2691.9649999997546
0,0.6,120,6.644899999955669,2528.686800001111
0,0.6,140,5.057987999971374,2573.1033000007246
0,0.6,160,7.165271999983816,2415.2223000004087
0,0.6,180,7.030951999986428,2547.112900000343
0,0.6,200,7.55427600000985,2590.419599999763
0,0.6,220,5.086660000015399,2556.499899999608
0,0.8,40,5.033747999987099,8763.783800000312
0,0.8,60,3.8639279999915743,3917.424500000209
0,0.8,80,4.2028920000302605,2495.966199999259
0,0.8,100,3.613963999960106,2339.28490000099
0,0.8,120,4.5206279999547405,2258.57750000111
0,0.8,140,4.629016000035335,2247.335799999121
0,0.8,160,4.289416000028723,2196.8356999992693
0,0.8,180,5.037819999997737,2220.1372000000674
0,0.8,200,4.602372000008472,2307.2052999997936
0,0.8,220,4.370428000038373,2239.494299999052
0,1.0,40,4.935699999987264,8893.14880000032
0,1.0,60,3.88163200004783,3736.282799998804
0,1.0,80,3.82145199997467,2238.227900000624
0,1.0,100,3.7188199999945937,1990.370200000143
0,1.0,120,3.5357440000370843,1902.7420999990736
0,1.0,140,3.6592519999976494,1965.138100000076
0,1.0,160,3.575143999987631,1904.6413000002929
0,1.0,180,3.53975599995465,1945.5929000011447
0,1.0,200,4.005175999991479,1990.2900000002144
0,1.0,220,3.794807999947807,1981.0100000013051
0,1.2,40,5.013512000004994,8755.611999999872
0,1.2,60,3.785003999946639,4058.899500001331
0,1.2,80,3.877532000042265,2427.3039999989405
0,1.2,100,3.5385479999968084,1991.702700000076
0,1.2,120,3.589799999972456,1937.7242000007016
0,1.2,140,3.530428000012762,1926.604299999667
0,1.2,160,3.5853160000260687,2108.9353999993536
0,1.2,180,3.562215999991168,2007.6496000002064
0,1.2,200,3.552404000001843,1873.2773999999492
0,1.2,220,3.623140000054264,1957.726499998614
0,1.4,40,5.311424000028637,8835.605799999314
0,1.4,60,3.963383999944199,3752.45740000139
0,1.4,80,3.952703999966616,2359.270300000844
0,1.4,100,3.684131999980309,1947.0307000004825
0,1.4,120,3.5385520000272663,2032.5270999992997
0,1.4,140,3.521295999962604,1972.5784000008844
0,1.4,160,3.973823999986053,2015.0545000003035
0,1.4,180,3.626564000005601,1980.162999999834
0,1.4,200,3.540596000020741,1950.309599999457
0,1.4,220,3.534395999959088,1991.6417000010256
0,1.6,40,6.476551999949152,9038.326700001278
0,1.6,60,3.8127320000057807,3743.002299999887
0,1.6,80,3.93761600003927,2371.7652999990264
0,1.6,100,4.001872000008007,2203.9537999997947
0,1.6,120,3.497715999983484,2032.1843000004376
0,1.6,140,3.5162319999653846,1926.617300000828
0,1.6,160,3.662083999952301,1938.6769000012123
0,1.6,180,3.544735999967088,2035.048800000823
0,1.6,200,3.550651999976253,1980.82210000058
0,1.6,220,3.5484200000064448,1916.048199999864
0,1.8,40,6.5613719999964815,8754.748900000095
0,1.8,60,4.014511999994284,3723.849000000144
0,1.8,80,3.876263999991352,2409.006900000179
0,1.8,100,3.970060000065132,2118.771999998387
0,1.8,120,3.4636040000623325,2030.9209999984432
0,1.8,140,3.551499999957741,1933.27070000106
0,1.8,160,3.6927599999762606,1952.7666000005863
0,1.8,180,3.6234479999984615,1976.605600000028
0,1.8,200,3.506619999971008,1983.9007000007316
0,1.8,220,3.5977080000157,1952.8594999995903
0,2.0,40,5.390048000044772,8653.999899998893
0,2.0,60,3.943116000009468,3572.66809999976
0,2.0,80,4.04865600001358,2364.268599999661
0,2.0,100,3.6532960000477033,2042.222499998786
0,2.0,120,3.618488000065554,1931.486799998368
0,2.0,140,3.907856000005268,2184.0905999998768
0,2.0,160,3.5744319999503205,2038.2762000012349
0,2.0,180,5.137216000002809,2299.6374999999034
0,2.0,200,3.774208000031649,2199.583299999233
0,2.0,220,4.515820000015083,2538.090299999624
1,0.2,40,514.6682839999994,18714.4821
1,0.2,60,508.0741919999855,9705.896300000346
1,0.2,80,503.66143200000806,7481.128599999807
1,0.2,100,500.2126880000287,5693.437999999274
1,0.2,120,491.5644279999833,5622.423200000412
1,0.2,140,484.738223999957,6971.023300001038
1,0.2,160,491.8991319999623,5594.646000000921
1,0.2,180,500.6420480000088,5761.678299999745
1,0.2,200,487.6635079999687,5482.183600000783
1,0.2,220,496.4063599999645,5540.744700000912
1,0.4,40,235.5845000000409,9927.610699999035
1,0.4,60,232.74594399998023,5296.9944000004725
1,0.4,80,235.8038600000145,3865.462499999694
1,0.4,100,240.0459720000072,3335.6128999998878
1,0.4,120,247.05688800000644,3321.429199999784
1,0.4,140,236.53679600000032,3259.0925999999163
1,0.4,160,236.1454679999588,3209.8484000010794
1,0.4,180,240.77696400003333,4174.159099999088
1,0.4,200,237.0576200000505,3448.717099998816
1,0.4,220,247.42410799997745,3313.586000000556
1,0.6,40,161.16051599994535,9600.131400001374
1,0.6,60,153.29400000002352,4313.252099999431
1,0.6,80,158.90752799998154,2967.5789000004897
1,0.6,100,155.67570799998066,2567.912900000465
1,0.6,120,163.63145199997234,2508.8777000007667
1,0.6,140,155.16634400002658,2421.9116999993275
