load,avg_latency,instant_latency
12,0.19684517733791532,0.3131713299662806
10,0.45334555600753185,0.691447205026634
4,0.6386106760950165,1.1744807939976454
8,0.6512797462074862,0.2790280610206537
12,0.637423530928668,0.8047082510311157
11,0.6452403841220649,0.9648057130398229
4,0.6656843765473027,0.5235689909895882
13,0.6419034012873075,0.5052763549610972
20,0.6470909982192846,0.850800686981529
5,0.7088417283429758,0.9223441040376201
16,0.683187582212434,0.36468118702759966
11,0.6938366588492657,0.7647711919853464
41,0.7136931616534091,1.0516047709970735
79,0.7631968471967276,1.0703225859906524
84,0.8547908348794512,1.8674590989830904
69,1.0021359598181112,2.4890575589961372
77,1.192724131684372,3.2632847810164094
75,1.432729477814592,4.009822339983657
81,1.7956804257538925,2.728225252998527
62,2.115204916994324,1.355916514992714
72,2.413895610760187,2.207619748020079
82,2.7117181840163185,6.909439610026311
72,2.954191278090157,7.761055884999223
82,3.166413160766094,4.228084613045212
83,3.2325031145098087,4.411568217969034
83,3.1729385926478892,0.8910958969499916
89,3.1283104217547377,1.383433828013949
80,3.134230231387998,1.7583940189797431
83,3.1110172172945756,2.01189439103473
95,2.940156562783936,0.9629266779520549
108,2.8104998574429985,1.1115511119714938
135,2.694216518424506,0.9587393020046875
131,2.5660877909101525,1.04051259503467
148,2.455383939098406,1.0545755890198052
136,2.3552320243644327,1.131077878002543
145,2.266662850782185,1.0024054759996943
147,2.188500642783008,1.0034475029679015
149,2.1198614636652624,1.0423232190078124
132,2.0593189586361818,0.97093330998905
121,2.0061562549029848,1.1459026639931835
131,1.9646055063918841,0.9873952579800971
126,1.9237244852411433,1.142978204996325
126,1.8884203918214737,0.99576794099994
146,1.8532236359145493,0.9845070540322922
132,1.8190049161287685,1.5488962040399201
133,1.7878694080047908,0.8760478320182301
137,1.7604104268559473,1.1340803320053965
118,1.733102515441795,0.9901970860082656
52,1.7109401869815042,0.9863568319706246
26,1.7011224063901147,0.8947461019852199
25,1.6956261567222195,0.7861434330116026
18,1.6913323265334248,0.6781811719993129
25,1.6878148473582044,1.0758495799964294
22,1.683288068283587,1.072464760974981
16,1.6793219067241103,0.9895824849954806
17,1.675667548923291,0.8165242050308734
18,1.6732783872866115,0.9154097550199367
26,1.6698114775042774,0.6655663979472592
11,1.6657574128075434,1.0560015779919922
17,1.663160540543278,0.5320071449968964
24,1.660194292024115,0.8959977789781988
17,1.656193461407675,0.8405207920004614
16,1.6534646340823465,0.7040028809569776
25,1.6497705206656794,0.917749532032758
29,1.647038174195225,0.9970181970275007
14,1.6421337895518329,1.0520556239644065
43,1.638988772354581,0.6806282280012965
77,1.6363175806465726,1.2406041890499182
65,1.636599986202131,1.81066393799847
74,1.6426469943764668,2.3606992510030977
47,1.6407084531290286,1.1720026819966733
58,1.6346289465314614,0.9652369710383937
65,1.6278731221452083,1.2200002929894254
59,1.6206445314363014,1.2240178030333482
72,1.613425168520513,1.0045775000471622
77,1.6070773440287853,1.1984605680336244
86,1.6050477229024274,1.6366864399751648
70,1.6080236392982932,2.170041861012578
68,1.6118006358641113,1.8872217130265199
71,1.6046062597141963,1.169509453990031
57,1.5964810051700347,0.9040026739821769
68,1.5901735450633454,0.9524474699865095
70,1.5866917090840613,1.2264210630091839
61,1.5818269616608616,1.0762068910407834
11,1.5754599124745656,0.9984383549890481
0,1.5746755880095462,1.184386228036601
